Subject,Course Score,Learning Score,Quiz Score,Recommendation
Artificial Intelligence and Machine Learning,100,9,95,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,99,18,51,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,98,3,81,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,97,10,67,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,96,88,73,Data Science and Analytics
Artificial Intelligence and Machine Learning,95,37,93,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,94,57,26,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,93,51,61,IT Project Management
Artificial Intelligence and Machine Learning,92,75,95,Data Science and Analytics
Artificial Intelligence and Machine Learning,91,86,84,Data Science and Analytics
Artificial Intelligence and Machine Learning,90,48,82,IT Project Management
Artificial Intelligence and Machine Learning,89,83,45,IT Project Management
Artificial Intelligence and Machine Learning,88,56,42,IT Project Management
Artificial Intelligence and Machine Learning,87,84,98,Data Science and Analytics
Artificial Intelligence and Machine Learning,86,39,44,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,85,81,48,IT Project Management
Artificial Intelligence and Machine Learning,84,15,100,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,83,57,84,IT Project Management
Artificial Intelligence and Machine Learning,82,35,86,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,81,42,45,IT Project Management
Artificial Intelligence and Machine Learning,80,86,2,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,79,21,1,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,78,37,84,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,77,21,21,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,76,9,94,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,75,16,12,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,74,31,94,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,73,48,65,IT Project Management
Artificial Intelligence and Machine Learning,72,45,53,IT Project Management
Artificial Intelligence and Machine Learning,71,76,37,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,70,46,19,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,69,99,79,IT Project Management
Artificial Intelligence and Machine Learning,68,20,41,Artificial Intelligence and Machine Learning
Artificial Intelligence and Machine Learning,67,24,24,Artificial Intelligence and Machine Learning
